import time: self [us] | cumulative | imported package
import time:      1718 |       9627 |               google.protobuf.descriptor
import time:      2023 |       2023 |                 google.protobuf.descriptor_database
import time:      2066 |       2066 |                 google.protobuf.text_encoding
import time:       920 |        920 |                 google.protobuf.internal.python_edition_defaults
import time:      1447 |       1447 |                     encodings.raw_unicode_escape
import time:      1397 |       1397 |                     encodings.unicode_escape
import time:      1222 |       1222 |                       numbers
import time:      1486 |       1486 |                           _compat_pickle
import time:       277 |        277 |                           _pickle
import time:      2618 |       4380 |                         pickle
import time:      8022 |      12401 |                       google.protobuf.internal.containers
import time:      1117 |       1117 |                         google.protobuf.internal.wire_format
import time:      1284 |       2401 |                       google.protobuf.internal.encoder
import time:      1314 |      17336 |                     google.protobuf.internal.decoder
import time:      1906 |       1906 |                     google.protobuf.internal.type_checkers
import time:      1604 |       1604 |                     google.protobuf.unknown_fields
import time:      2636 |      26323 |                   google.protobuf.text_format
import time:      3876 |       3876 |                   google.protobuf.internal.extension_dict
import time:      1155 |       1155 |                   google.protobuf.internal.message_listener
import time:      1163 |       1163 |                     google.protobuf.internal.field_mask
import time:      1425 |       2588 |                   google.protobuf.internal.well_known_types
import time:      1753 |      35694 |                 google.protobuf.internal.python_message
import time:      1412 |      42112 |               google.protobuf.descriptor_pool
import time:      1393 |       1393 |               google.protobuf.runtime_version
import time:       813 |        813 |                   google.protobuf.pyext
import time:      1286 |       1286 |                   google.protobuf.pyext.cpp_message
import time:       812 |       2910 |                 google.protobuf.message_factory
import time:      1022 |       3931 |               google.protobuf.symbol_database
import time:       702 |        702 |                 google.protobuf.reflection
import time:       884 |       1585 |               google.protobuf.internal.builder
import time:      3777 |      62423 |             google.protobuf.descriptor_pb2
import time:       886 |        886 |                       google.protobuf.duration_pb2
import time:       989 |        989 |                       google.protobuf.timestamp_pb2
import time:       877 |        877 |                       google.protobuf.field_mask_pb2
import time:      1110 |       1110 |                       google.protobuf.struct_pb2
import time:      1098 |       1098 |                       google.protobuf.wrappers_pb2
import time:       213 |        213 |                         google.protobuf.pyext._message
import time:      2022 |       2234 |                       proto.marshal.compat
import time:       686 |        686 |                           proto.utils
